Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Pta_Choros;ASV0238;Core;9,94E-10;2;0;7
Pta_Choros;ASV0261;Core;2,82E-08;42;9813,719301;1
Pta_Choros;ASV0270;Core;6,28E-09;5;47,98460328;1
Pta_Choros;ASV0273;Core;8,52E-08;21;4407,489033;1
Pta_Choros;ASV0277;Core;1,53E-08;41;4595,089555;1
Pta_Choros;ASV0279;Core;6,23E-08;30;11672,25399;1
Pta_Choros;ASV0315;Core;3,42E-05;21;9162,947966;1
Pta_Choros;ASV0382;Core;4,91E-07;22;1262,789451;1
Pta_Choros;ASV0395;Core;7,71E-07;21;1612,528322;1
Pta_Choros;ASV0403;Core;5,00E-09;34;1704,599001;1
Pta_Choros;ASV0442;Core;2,92E-13;1;0;13
Pta_Choros;ASV0452;Core;3,42E-05;5;8,166059332;1
Pta_Choros;ASV0456;Core;0,000511126;2;0;2
Pta_Choros;ASV0462;Core;1,69E-08;3;1374,449495;1
Pta_Choros;ASV0510;Core;1,99E-08;6;7,991666221;1
Pta_Choros;ASV0561;Core;2,55E-09;23;303,5187147;1
Pta_Choros;ASV0569;Core;0,000511126;2;0;2
Pta_Choros;ASV0631;Core;2,92E-09;27;485,9116965;1
Pta_Choros;ASV0688;Core;1,58E-08;1;0;1
Pta_Choros;ASV0711;Core;2,85E-09;26;365,1043559;1
Pta_Choros;ASV0775;Core;2,21E-13;3;0;18
Pta_Choros;ASV0799;Core;0,0002562;5;0;1
Pta_Choros;ASV0834;Core;0,000124155;3;7,242438157;4
Pta_Choros;ASV0838;Core;2,35E-09;1;0;1
Pta_Choros;ASV0867;Core;2,33E-08;11;685,6788487;1
Pta_Choros;ASV0932;Core;1,11E-07;1;0;1
Pta_Choros;ASV1079;Core;2,61E-08;11;111,8588324;1
Pta_Choros;ASV1112;Core;0,000256258;6;530,8206123;1
Pta_Choros;ASV1119;Core;1,66E-08;7;76,79852951;1
Pta_Choros;ASV1191;Core;2,21E-13;3;0;18
Pta_Choros;ASV1207;Core;6,48E-08;14;303,4269401;1
Pta_Choros;ASV1272;Core;1,94E-08;2;0;11
Pta_Choros;ASV1335;Core;2,21E-13;3;0;18
Pta_Choros;ASV1389;Core;5,54E-06;2;0;1
